"","HISTO.CASETTE.NO","sex","cat","pco2_h_l","treatment","tank_id","temp_deg_c"
"346","4","F",4,"l","La Nina",5,"18-14"
"347","40","F",1,"l","El Nino",37,"21-18"
"348","41","F",4,"l","La Nina",5,"18-14"
"349","42","F",4,"l","La Nina",5,"18-14"
"350","43","F",4,"l","La Nina",5,"18-14"
"351","44","F",1,"l","El Nino",19,"21-18"
"352","45","M",2,"l","El Nino",37,"21-18"
"353","46","F",4,"l","La Nina",5,"18-14"
"354","47","M",4,"l","El Nino",19,"21-18"
"355","48","F",4,"l","La Nina",33,"18-14"
"356","49","M",4,"l","El Nino",37,"21-18"
"357","5","M",4,"l","La Nina",5,"18-14"
"358","50","M",4,"l","El Nino",37,"21-18"
"359","51","M",3,"l","El Nino",19,"21-18"
"360","52","F",1,"l","El Nino",19,"21-18"
"361","53","M",4,"l","El Nino",19,"21-18"
"362","54","F",4,"l","El Nino",19,"21-18"
"363","55","M",4,"l","El Nino",37,"21-18"
"364","56","F",1,"l","El Nino",19,"21-18"
"365","57","M",2,"l","El Nino",19,"21-18"
"366","58","F",1,"l","El Nino",19,"21-18"
"367","59","F",1,"l","El Nino",19,"21-18"
"368","6","F",1,"l","El Nino",37,"21-18"
"369","60","F",1,"l","El Nino",19,"21-18"
"370","61","F",3,"l","El Nino",23,"21-18"
"371","62","F",1,"l","El Nino",23,"21-18"
"372","63","M",4,"l","El Nino",23,"21-18"
"373","64","F",3,"l","El Nino",23,"21-18"
"374","65","F",4,"l","El Nino",23,"21-18"
"375","66","M",4,"l","El Nino",23,"21-18"
"376","67","M",1,"l","El Nino",23,"21-18"
"377","68","M",3,"l","El Nino",23,"21-18"
"378","69","F",1,"l","El Nino",23,"21-18"
"379","7","F",3,"l","El Nino",37,"21-18"
"380","70","F",2,"l","El Nino",23,"21-18"
"381","71","M",3,"l","El Nino",23,"21-18"
"382","72","M",4,"l","El Nino",23,"21-18"
"383","73","F",1,"l","El Nino",23,"21-18"
"384","74","M",2,"l","El Nino",23,"21-18"
"385","75","M",4,"l","El Nino",23,"21-18"
"386","76","F",4,"l","La Nina",25,"18-14"
"387","77","M",4,"l","La Nina",25,"18-14"
"388","78","F",4,"l","La Nina",25,"18-14"
"389","79","F",4,"l","La Nina",25,"18-14"
"390","8","F",2,"l","El Nino",37,"21-18"
"391","80","M",4,"l","La Nina",25,"18-14"
"392","81","F",4,"l","La Nina",25,"18-14"
"393","82","F",4,"l","La Nina",25,"18-14"
"394","83","M",4,"l","La Nina",25,"18-14"
"395","84","M",4,"l","La Nina",25,"18-14"
"396","85","M",4,"l","La Nina",25,"18-14"
"397","86","M",4,"l","La Nina",25,"18-14"
"398","87","F",4,"l","La Nina",25,"18-14"
"399","88","M",4,"l","La Nina",25,"18-14"
"400","89","F",4,"l","La Nina",25,"18-14"
"401","9","M",4,"l","El Nino",37,"21-18"
"402","90","M",4,"l","La Nina",25,"18-14"
"403","91","F",1,"l","El Nino",39,"21-18"
"404","92","M",3,"l","El Nino",39,"21-18"
"405","93","F",2,"l","El Nino",39,"21-18"
"406","94","F",1,"l","El Nino",39,"21-18"
"407","95","M",1,"l","El Nino",39,"21-18"
"408","96","F",2,"l","El Nino",39,"21-18"
"409","97","F",4,"l","El Nino",39,"21-18"
"410","98","F",1,"l","El Nino",39,"21-18"
"411","99","M",3,"l","El Nino",39,"21-18"
